Latitude,Longitude,
37.8673847,-122.2609578," 2400 DURANT AVE, Berkeley, CA"
37.8734511,-122.2706227," 2000 HEARST AVE, Berkeley, CA"
37.8760345,-122.2603253," 2500 RIDGE RD, Berkeley, CA"
37.8495184,-122.2726509," 1800 HARMON ST, Berkeley, CA"
37.8660242,-122.2586271," HASTE ST&  TELEGRAPH AVE, Berkeley, CA"
37.868893,-122.278913,"1600 ADDISON ST, Berkeley, CA"
37.8627581,-122.2626049," 2300 PARKER ST, Berkeley, CA"
37.8695859,-122.2523046," 2300 PIEDMONT AVE, Berkeley, CA"
37.8684776,-122.2679492," KITTREDGE ST& SHATTUCK AVE, Berkeley, CA"
37.8673607,-122.2540202," 2700 CHANNING WAY, Berkeley, CA"
37.8808861,-122.2877699,"1300 PERALTA AVE, Berkeley, CA"
37.89459,-122.2752263," 800 ARLINGTON AVE, Berkeley, CA"
37.8787256,-122.3036121,"1300 GILMAN ST, Berkeley, CA"
37.8690609,-122.2512191,"2300 WARRING ST, Berkeley, CA"
37.8673847,-122.2609578," 2400 DURANT AVE, Berkeley, CA"
37.8641059,-122.265079," 2200 DWIGHT WAY, Berkeley, CA"
37.8692363,-122.2682686," 2200 SHATTUCK  AVE, Berkeley, CA"
37.88461,-122.2814488,"1200 MONTEREY AVE, Berkeley, CA"
37.871887,-122.268675," 2000 SHATTUCK  AVE, Berkeley, CA"
37.8654385,-122.2527355," 2500 ETNA ST, Berkeley, CA"
37.8673847,-122.2609578," 2400 DURANT AVE, Berkeley, CA"
37.8755585,-122.2618573," 2400 RIDGE RD, Berkeley, CA"
37.8673847,-122.2609578," 2400 DURANT AVE, Berkeley, CA"
37.8496058,-122.2819459," 3200 IDAHO ST, Berkeley, CA"
37.865799,-122.266847," 2100 CHANNING WAY, Berkeley, CA"
37.8668811,-122.2952459," 2100 EIGHTH ST, Berkeley, CA"
37.8697553,-122.2875161," BONAR ST&  UNIVERSITY  AVE, Berkeley, CA"
37.8819444,-122.2967183,"1200 SAN PABLO AVE, Berkeley, CA"
37.855139,-122.2833968," 2800 PARK ST, Berkeley, CA"
37.880793,-122.277788,"1400 EDITH ST, Berkeley, CA"
37.8814538,-122.2740885,"ROSE ST&   M  L KING JR WAY, Berkeley, CA"
37.8814418,-122.2731644," 1400 BONITA AVE, Berkeley, CA"
37.870206,-122.292806," 1900 SAN PABLO AVE, Berkeley, CA"
37.8521181,-122.2751806," PRINCE ST&  CA LIFORN IA ST, Berkeley, CA"
37.8684989,-122.2677872," 2100 KITTREDGE ST, Berkeley, CA"
37.9015099,-122.2768745," 500 ARLINGTON AVE, Berkeley, CA"
37.8886959,-122.2636859,"1100 HIGH CT, Berkeley, CA"
37.8754539,-122.2922835," CEDAR ST&  STANNAGE  AVE, Berkeley, CA"
37.8922168,-122.2823978," 1700 TACOMA AVE, Berkeley, CA"
37.8542718,-122.2711408," 3000 ML  KING JR WAY, Berkeley, CA"
37.869224,-122.2923753,"1100 UNIVERSITY AVE, Berkeley, CA"
37.8708717,-122.2706215," 2000 ADDISON ST, Berkeley, CA"
37.874298,-122.2708598," 2000 DELAWARE ST, Berkeley, CA"
37.8702602,-122.2731962," 2100 ML  KING JR WAY, Berkeley, CA"
37.874298,-122.2708598," 2000 DELAWARE ST, Berkeley, CA"
37.8674857,-122.2542473," 2400 COLLEGE AVE, Berkeley, CA"
37.8686823,-122.2700197," 2000 ALLSTON WAY, Berkeley, CA"
37.8493865,-122.2736536," 1700 HARMON ST, Berkeley, CA"
37.8788502,-122.2898647," 1400 NORTHSIDE AVE, Berkeley, CA"
37.8660375,-122.2698541," 2000 DURANT AVE, Berkeley, CA"
37.8707434,-122.2773624,"1700 UNIVERSITY AVE, Berkeley, CA"
37.864542,-122.2629652,"2300 DWIGHT WAY, Berkeley, CA"
37.8675433,-122.2521006," 2400 PlEDMONT AVE, Berkeley, CA"
37.8709232,-122.2896728,"1200 HEARST AVE, Berkeley, CA"
37.8580681,-122.2884927," SAN PABLO AVE& CARLETON ST, Berkeley, CA"
37.8612548,-122.2600014," 2400 DERBY ST, Berkeley, CA"
37.8607656,-122.2783296," 1600 PARKER ST, Berkeley, CA"
37.8612548,-122.2600014," 2400 DERBY ST, Berkeley, CA"
37.8641059,-122.265079,"2200 DWIGHT WAY, Berkeley, CA"
37.8629046,-122.2745869,"2500 GRANT ST, Berkeley, CA"
37.865137,-122.25668," 2500 HILLEGASS AVE, Berkeley, CA"
37.871026,-122.294964," 1000 DELAWARE ST, Berkeley, CA"
37.8684944,-122.2941347," 1000 UNIVERSITY  AVE, Berkeley, CA"
37.867991,-122.2695236," OXFORD ST&  KITIREDGE ST, Berkeley, CA"
37.8649541,-122.2589126,"2500 TELEGRAPH AVE, Berkeley, CA"
37.86215,-122.248859," 2900 DERBY ST, Berkeley, CA"
37.8651641,-122.2865876," BONAR ST&  BANCROFT WAY, Berkeley, CA"
37.874298,-122.2708598," 2000 DELAWARE ST, Berkeley, CA"
37.8563151,-122.2774311," CALIFORNIA ST&  OREGON ST, Berkeley, CA"
37.8819444,-122.2967183,"1200 SAN PABLO AVE, Berkeley, CA"
37.86215,-122.248859," 2900 DERBY ST, Berkeley, CA"
37.8663824,-122.2770433," 2300 MCGEE AVE, Berkeley, CA"
